0.01;0.48
0.02;0.48
0.03;0.47
0.04;0.46
0.05;0.45
0.06;0.44
0.07;0.43
0.08;0.42
0.09;0.42
0.1;0.41
0.11;0.4
0.12;0.4
0.13;0.4
0.14;0.39
0.15;0.39
0.16;0.38
0.17;0.38
0.18;0.38
0.19;0.38
0.2;0.37
0.21;0.37
0.22;0.37
0.23;0.37
0.24;0.37
0.25;0.36
0.26;0.36
0.27;0.36
0.28;0.36
0.29;0.36
0.3;0.36
0.31;0.36
0.32;0.36
0.33;0.36
0.34;0.36
0.35;0.36
0.36;0.36
0.37;0.36
0.38;0.37
0.39;0.37
0.4;0.37
0.41;0.37
0.42;0.37
0.43;0.37
0.44;0.37
0.45;0.37
0.46;0.37
0.47;0.37
0.48;0.37
0.49;0.37
0.5;0.37
0.51;0.37
0.52;0.37
0.53;0.37
0.54;0.37
0.55;0.37
0.56;0.37
0.57;0.37
0.58;0.37
0.59;0.37
0.6;0.37
0.61;0.37
0.62;0.37
0.63;0.37
0.64;0.38
0.65;0.38
0.66;0.38
0.67;0.38
0.68;0.38
0.69;0.38
0.7;0.38
0.71;0.38
0.72;0.38
0.73;0.38
0.74;0.38
0.75;0.38
0.76;0.38
0.77;0.38
0.78;0.38
0.79;0.38
0.8;0.38
0.81;0.38
0.82;0.38
0.83;0.39
0.84;0.39
0.85;0.39
0.86;0.4
0.87;0.4
0.88;0.4
0.89;0.4
0.9;0.41
0.91;0.41
0.92;0.42
0.93;0.45
0.94;0.49
0.95;0.54
0.96;0.58
0.97;0.62
0.98;0.67
0.99;0.71
1;0.76
1.01;0.8
1.02;0.85
1.03;0.89
1.04;0.94
1.05;0.98
1.06;1.01
1.07;1.05
1.08;1.08
1.09;1.12
1.1;1.16
1.11;1.2
1.12;1.24
1.13;1.29
1.14;1.33
1.15;1.38
1.16;1.43
1.17;1.48
1.18;1.54
1.19;1.59
1.2;1.65
1.21;1.69
1.22;1.67
1.23;1.65
1.24;1.63
1.25;1.61
1.26;1.6
1.27;1.58
1.28;1.57
1.29;1.55
1.3;1.54
1.31;1.52
1.32;1.51
1.33;1.5
1.34;1.49
1.35;1.48
1.36;1.47
1.37;1.46
1.38;1.45
1.39;1.44
1.4;1.43
1.41;1.42
1.42;1.42
1.43;1.41
1.44;1.4
1.45;1.39
1.46;1.39
1.47;1.38
1.48;1.37
1.49;1.37
1.5;1.36
